"","X","metric","Authors","subgroup","group","group_general","tissue","n_male","n_female","mean_female","mean_male","sd_female","sd_male","yi","vi","Protocol","genotype_intervention","hormonal_intervention","colitis_intervention","dietary_intervention","control"
"236",484,"Jaccard","Zajac et al. 2022","APOE2/E3_fecal","genotype (neuroprotective against Alzheimer to neutral)","genotype","fecal",21,36,0.46740342,0.461957184,0.048231433,0.052434361,-0.107861114,0.075506058,"Zajac","yes","no","no","no","treatment"
"237",488,"Jaccard","Zajac et al. 2022","APOE3/E4_fecal","genotype (neutral to prime Alzheimer)","genotype","fecal",32,23,0.460929034,0.483943711,0.0569659,0.050739896,0.424754813,0.076488297,"Zajac","yes","no","no","no","treatment"
"238",492,"Jaccard","Zajac et al. 2022","APOE3_fecal","genotype (neutral)","genotype","fecal",6,7,0.394941495,0.386646271,0.076927136,0.101857498,-0.086552381,0.309927846,"Zajac","yes","no","no","no","treatment"
"239",496,"Jaccard","Zajac et al. 2022","APOE2/E2_fecal","genotype (neuroprotective against Alzheimer)","genotype","fecal",15,21,0.432300206,0.498934002,0.076321914,0.046106897,0.993334156,0.12958081,"Zajac","yes","no","no","no","treatment"
"240",500,"Jaccard","Zajac et al. 2022","APOE2/E2_cecal","genotype (neuroprotective against Alzheimer)","genotype","cecal",5,6,0.46025571,0.490283163,0.045566183,0.041463945,0.626651362,0.393650971,"Zajac","yes","no","no","no","treatment"
"241",504,"Jaccard","Zajac et al. 2022","APOE4/E4_small bowel","genotype (prime Alzheimer)","genotype","small bowel",3,3,0.432119364,0.42988874,0.178789066,0.076947931,-0.012931211,0.666702552,"Zajac","yes","no","no","no","treatment"
"242",508,"Jaccard","Zajac et al. 2022","APOE3/E3_fecal","genotype (neutral)","genotype","fecal",41,15,0.443963084,0.500617798,0.032715646,0.068187228,0.915727119,0.099080818,"Zajac","yes","no","no","no","treatment"
"243",512,"Jaccard","Zajac et al. 2022","APOE4_fecal","genotype (prime Alzheimer)","genotype","fecal",7,7,0.417147864,0.426787732,0.086245899,0.079435151,0.108820441,0.286290894,"Zajac","yes","no","no","no","treatment"
"244",516,"Jaccard","Zajac et al. 2022","APOE2_fecal","genotype (neuroprotective against Alzheimer)","genotype","fecal",8,7,0.408805541,0.457401963,0.06312333,0.064760874,0.714391095,0.290505515,"Zajac","yes","no","no","no","treatment"
"245",520,"Jaccard","Zajac et al. 2022","APOE2/E3_cecal","genotype (neuroprotective against Alzheimer to neutral)","genotype","cecal",7,10,0.4802769,0.439314937,0.048061817,0.089988394,-0.57159523,0.255172908,"Zajac","yes","no","no","no","treatment"
"246",524,"Jaccard","Zajac et al. 2022","APOE2/E2_small bowel","genotype (neuroprotective against Alzheimer)","genotype","small bowel",2,3,0.288791465,0.352626495,0.139033109,7.85e-17,0.406898208,0.893496799,"Zajac","yes","no","no","no","treatment"
"247",528,"Jaccard","Zajac et al. 2022","APOE3/E3_cecal","genotype (neutral)","genotype","cecal",13,5,0.478268651,0.506794864,0.032810264,0.029879468,0.886604455,0.304478615,"Zajac","yes","no","no","no","treatment"
"248",532,"Jaccard","Zajac et al. 2022","APOE3/E4_cecal","genotype (neutral to prime Alzheimer)","genotype","cecal",10,8,0.467949997,0.414918693,0.071804891,0.186707603,-0.341520695,0.22908868,"Zajac","yes","no","no","no","treatment"
"249",536,"Jaccard","Zajac et al. 2022","APOE4/E4_cecal","genotype (prime Alzheimer)","genotype","cecal",5,4,0.443611473,0.473545253,0.057566209,0.023340387,0.638938294,0.48861367,"Zajac","yes","no","no","no","treatment"
"250",540,"Jaccard","Zajac et al. 2022","APOE3/E3_small bowel","genotype (neutral)","genotype","small bowel",4,2,0.381864954,0.487587066,0,0.028052849,3.472148436,3.337199989,"Zajac","yes","no","no","no","treatment"
"251",80,"Jaccard","Zou et al. 2021","High fat chow","dietary intervention","dietary intervention","fecal",5,5,0.415206096,0.425075696,0.065471378,0.051208492,0.151585597,0.401829329,"Zou","no","no","no","yes","treatment"
"252",84,"Jaccard","Zou et al. 2021","Glrx1 KO + Standard chow","genotype (pro-inflammation), dietary intervention","genotype, dietary intervention","fecal",2,3,0.438153723,0.306290923,0.106881564,0,-1.093363157,1.26773368,"Zou","yes","no","no","yes","treatment"
"253",88,"Jaccard","Zou et al. 2021","Glrx1 KO + High fat chow","genotype (pro-inflammation), dietary intervention","genotype, dietary intervention","fecal",4,4,0.447020174,0.441768524,0.121872227,0.178543425,-0.029843053,0.500103691,"Zou","yes","no","no","yes","treatment"
"254",92,"Jaccard","Zou et al. 2021","Control","control","control","fecal",4,4,0.40183031,0.390942933,0.053164594,0.024614479,-0.228284194,0.506067442,"Zou","no","no","no","no","control"
"255",125,"Unweighted Unifrac","Cheema & Pluznick 2019","Ang II infusion","increased blood pressure (cardiovascular disease model)","drug treatment","fecal",3,3,0.208692871,0.257585225,0.088869786,0.05897791,0.517245568,0.724081881,"Cheema","no","no","no","no","treatment"
"256",129,"Unweighted Unifrac","Cheema & Pluznick 2019","Control","control","control","fecal",3,3,0.292595353,0.318837244,0.184843147,0.180843002,0.114506648,0.669480477,"Cheema","no","no","no","no","control"
"257",17,"Unweighted Unifrac","Ellis et al. 2021","2H7MK9_cecal","dietary intervention","dietary intervention","cecal",7,7,0.32651711,0.381902211,0.029470444,0.022829933,1.96650139,0.474013346,"Ellis","no","no","no","yes","treatment"
"258",21,"Unweighted Unifrac","Ellis et al. 2021","13C11MK4_cecal","dietary intervention","dietary intervention","cecal",7,7,0.287379268,0.399677148,0.038290722,0.025193589,3.242896574,0.79778016,"Ellis","no","no","no","yes","treatment"
"259",25,"Unweighted Unifrac","Ellis et al. 2021","2H7PK_cecal","dietary intervention","dietary intervention","cecal",7,7,0.305090741,0.379840497,0.042499113,0.0332954,1.832619756,0.449246895,"Ellis","no","no","no","yes","treatment"
"260",29,"Unweighted Unifrac","Ellis et al. 2021","2H7MK7_cecal","dietary intervention","dietary intervention","",7,7,0.320001546,0.391236955,0.036236985,0.035313356,1.863489184,0.454802521,"Ellis","no","no","no","yes","treatment"
"261",33,"Unweighted Unifrac","Ellis et al. 2021","Control (unlabeled PK)_cecal","control","control","cecal",7,7,0.324284125,0.406824421,0.02293494,0.133055272,0.809170261,0.317595838,"Ellis","no","no","no","no","control"
"262",37,"Unweighted Unifrac","Ellis et al. 2021","MK4_cecal","dietary intervention","dietary intervention","cecal",10,10,0.341666058,0.341551391,0.053748509,0.040498663,-0.002307573,0.200000164,"Ellis","no","no","no","yes","treatment"
"263",41,"Unweighted Unifrac","Ellis et al. 2021","PK_cecal","dietary intervention","dietary intervention","cecal",10,9,0.347866719,0.369098785,0.036451382,0.107962654,0.245990138,0.213093465,"Ellis","no","no","no","yes","treatment"
"264",45,"Unweighted Unifrac","Ellis et al. 2021","VKdef_cecal","dietary intervention","dietary intervention","cecal",8,9,0.326861512,0.325670993,0.032366063,0.040057022,-0.031245379,0.236147912,"Ellis","no","no","no","yes","treatment"
"265",49,"Unweighted Unifrac","Ellis et al. 2021","Combo_cecal","dietary intervention","dietary intervention","cecal",10,9,0.350619536,0.330625517,0.045083759,0.042157566,-0.438404847,0.217407572,"Ellis","no","no","no","yes","treatment"
"266",53,"Unweighted Unifrac","Ellis et al. 2021","MK9_cecal","dietary intervention","dietary intervention","cecal",9,9,0.35049444,0.347767835,0.031229153,0.043992721,-0.068060829,0.222384606,"Ellis","no","no","no","yes","treatment"
"267",269,"Unweighted Unifrac","Gubert et al. 2022","WT_control","control","control","fecal",8,8,0.314409387,0.33118508,0.054974586,0.043135196,0.320939211,0.254198841,"Gubert","no","no","no","no","control"
"268",273,"Unweighted Unifrac","Gubert et al. 2022","WT_Enviromental enrichment ","environmental intervention","environmental intervention","fecal",8,8,0.31275479,0.341369604,0.041048343,0.049406998,0.595531012,0.26445748,"Gubert","no","no","no","no","treatment"
"269",277,"Unweighted Unifrac","Gubert et al. 2022","WT_Exercise","exercise","exercise","fecal",8,8,0.295851566,0.325200233,0.059465582,0.016839591,0.634820905,0.26642806,"Gubert","no","no","no","no","treatment"
"270",281,"Unweighted Unifrac","Gubert et al. 2022","R6/1_Enviromental enrichment ","genotype, environmental intervention","genotype, environmental intervention","fecal",8,7,0.29138235,0.320424715,0.040786176,0.032848475,0.744118053,0.292429601,"Gubert","yes","no","no","no","treatment"
"271",285,"Unweighted Unifrac","Gubert et al. 2022","R6/1_Exercise","genotype, exercise","genotype, exercise","fecal",8,8,0.315263364,0.301596842,0.040339176,0.056597751,-0.262868498,0.252816832,"Gubert","yes","no","no","no","treatment"
"272",289,"Unweighted Unifrac","Gubert et al. 2022","R6/1_control","genotype","genotype","fecal",8,8,0.314436892,0.30061306,0.047124577,0.043940403,-0.286817565,0.253353477,"Gubert","yes","no","no","no","treatment"
"273",193,"Unweighted Unifrac","Ibrahim et al. 2019","AOM/DSS-ERbKOVil","colitis and inflammatory intervention, genotype, hormonal intervention","colitis and inflammatory intervention, genotype, hormonal intervention","fecal",7,6,0.243611234,0.268264994,0.034990234,0.054603023,0.490730292,0.322511976,"Ibrahim","yes","yes","yes","no","treatment"
"274",197,"Unweighted Unifrac","Ibrahim et al. 2019","Control","control","control","fecal",4,4,0.2734761,0.289753941,0.069430081,0.079724597,0.189143375,0.504165203,"Ibrahim","no","no","no","no","control"
"275",201,"Unweighted Unifrac","Ibrahim et al. 2019","AOM/DSS","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",7,3,0.24416562,0.281611818,0.080341529,0.107852002,0.332460581,0.484989941,"Ibrahim","no","no","yes","no","treatment"
"276",205,"Unweighted Unifrac","Ibrahim et al. 2019","Control-ERbKOVil","genotype, hormonal intervention","genotype, hormonal intervention","fecal",4,4,0.248282432,0.245329215,0.026520365,0.061522038,-0.054150582,0.500341397,"Ibrahim","yes","yes","no","no","treatment"
"277",349,"Unweighted Unifrac","Kozik et al. 2019","Colitis-cecal","colitis and inflammatory intervention","colitis and inflammatory intervention","cecal",7,7,0.300498293,0.25779231,0.105207169,0.044444538,-0.494936432,0.297642035,"Kozik","no","no","yes","no","treatment"
"278",353,"Unweighted Unifrac","Kozik et al. 2019","Colitis-colonMucus","colitis and inflammatory intervention","colitis and inflammatory intervention","colon mucus",5,4,0.355805464,0.208408323,0.268048558,0.052887186,-0.727424328,0.500049401,"Kozik","no","no","yes","no","treatment"
"279",357,"Unweighted Unifrac","Kozik et al. 2019","Control-cecal","control","control","cecal",2,3,0.372986582,0.181622462,0.072680026,0,-2.333406361,2.811860636,"Kozik","no","no","no","no","control"
"280",361,"Unweighted Unifrac","Kozik et al. 2019","Colitis-fecal_T0","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",7,7,0.381913625,0.434053183,0.108063648,0.146499663,0.379101568,0.292712235,"Kozik","no","no","yes","no","treatment"
"281",365,"Unweighted Unifrac","Kozik et al. 2019","Control-fecal","control","control","fecal",2,3,0.263074217,0.258306522,0.225426162,2.78e-16,-0.01874343,0.833460995,"Kozik","no","no","no","no","control"
"282",369,"Unweighted Unifrac","Kozik et al. 2019","Colitis-fecal","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",5,7,0.390123913,0.467035933,0.193803289,0.062535634,0.457158379,0.355488052,"Kozik","no","no","yes","no","treatment"
"283",373,"Unweighted Unifrac","Kozik et al. 2019","Control-fecal_T0","control","control","fecal",2,3,0.294836577,0.367386739,0.029106895,0,2.208957914,2.60644536,"Kozik","no","no","no","no","control"
"284",73,"Unweighted Unifrac","Lindheim et al. 2018","PRJNA445979","mixed","mixed","fecal",76,93,0.41594709,0.425904282,0.068033749,0.069427625,0.144362478,0.02397364,"Lindheim","no","no","no","no","treatment"
"285",1,"Unweighted Unifrac","Lyte et al. 2022","beef-chow-stress","dietary intervention, enviromental intervention","dietary intervention, enviromental intervention","fecal",18,20,0.398614687,0.359388408,0.035981201,0.023684781,-1.247128007,0.128257425,"Lyte","no","no","no","yes","treatment"
"286",5,"Unweighted Unifrac","Lyte et al. 2022","chow-stress","enviromental intervention","enviromental intervention","fecal",20,20,0.405835637,0.372518812,0.030168118,0.02657739,-1.148601486,0.118194427,"Lyte","no","no","no","no","treatment"
"287",9,"Unweighted Unifrac","Lyte et al. 2022","chow-control","control","control","fecal",20,19,0.398440459,0.377603974,0.034615453,0.031100674,-0.621189283,0.108104168,"Lyte","no","no","no","no","control"
"288",13,"Unweighted Unifrac","Lyte et al. 2022","beef-chow","dietary intervention","dietary intervention","fecal",18,19,0.388798638,0.406455946,0.027230564,0.050869685,0.42682352,0.11092619,"Lyte","no","no","no","yes","treatment"
"289",57,"Unweighted Unifrac","Pizarro et al. 2021","EtOH-Syn-T1","dietary intervention_mixed","dietary intervention","fecal",10,8,0.312926895,0.291984546,0.041027012,0.038609762,-0.502512685,0.233852035,"Pizarro","no","no","no","yes","treatment"
"290",61,"Unweighted Unifrac","Pizarro et al. 2021","Symbiotic-T0","dietary intervention_good","dietary intervention","fecal",10,8,0.30481571,0.262063496,0.028612376,0.031308718,-1.349889039,0.288877105,"Pizarro","no","no","no","yes","treatment"
"291",65,"Unweighted Unifrac","Pizarro et al. 2021","Water-T0","control","control","fecal",10,8,0.315510996,0.285089178,0.072348099,0.037887338,-0.520520153,0.234497825,"Pizarro","no","no","no","no","control"
"292",69,"Unweighted Unifrac","Pizarro et al. 2021","EtOH-T1","dietary intervention_bad","dietary intervention","fecal",10,8,0.308162678,0.268733532,0.042033153,0.028829985,-1.066035245,0.264837512,"Pizarro","no","no","no","yes","treatment"
"293",317,"Unweighted Unifrac","Ramakrishna et al. 2020","HSV1-infected","infection","infection","fecal",5,5,0.562681956,0.20030036,0.092573983,0.446565506,-1.014388287,0.481918956,"Ramakrishna","no","no","no","no","treatment"
"294",321,"Unweighted Unifrac","Ramakrishna et al. 2020","Control","control","control","fecal",5,5,0.577236462,0.589229706,0.194422313,0.139438521,0.063993371,0.400326021,"Ramakrishna","no","no","no","no","control"
"295",325,"Unweighted Unifrac","Ramakrishna et al. 2020","ACV-injected","drug treatment (immune-related)","drug treatment","fecal",5,5,0.585106318,0.584437361,0.252015042,0.257955965,-0.002368091,0.400000446,"Ramakrishna","no","no","no","no","treatment"
"296",329,"Unweighted Unifrac","Ramakrishna et al. 2020","IVIG-injected","drug treatment (immune-related)","drug treatment","fecal",5,5,0.210697276,0.00091466,0.43768338,0.00125245,-0.611882042,0.429806527,"Ramakrishna","no","no","no","no","treatment"
"297",333,"Unweighted Unifrac","Ramakrishna et al. 2020","ACV+IVIG-injected","drug treatment (immune-related)","drug treatment","fecal",5,5,0.581842963,0.556070704,0.258688941,0.098194419,-0.118906493,0.401125608,"Ramakrishna","no","no","no","no","treatment"
"298",337,"Unweighted Unifrac","Ramakrishna et al. 2020","HSV1-infected; IVIG-injected","infection, drug treatment (immune-related)","infection, drug treatment","fecal",5,4,0.37711847,0.575145545,0.459746384,0.141951918,0.55045701,0.478659596,"Ramakrishna","no","no","no","no","treatment"
"299",341,"Unweighted Unifrac","Ramakrishna et al. 2020","HSV1-infected; ACV-injected","infection, drug treatment (immune-related)","infection, drug treatment ","fecal",4,4,0.499637771,0.499784755,0.569620736,0.577101833,0.000222672,0.500000006,"Ramakrishna","no","no","no","no","treatment"
"300",345,"Unweighted Unifrac","Ramakrishna et al. 2020","HSV1-infected; ACV+IVIG-injected","infection, drug treatment (immune-related)","infection, drug treatment ","fecal",5,5,0.567659881,0.600776884,0.122387007,0.13490886,0.23210236,0.404288793,"Ramakrishna","no","no","no","no","treatment"
"301",117,"Unweighted Unifrac","Son et al. 2019","IL-10 Knockout ","colitis and inflammatory intervention, genotype","colitis and inflammatory intervention, genotype","fecal",8,8,0.358695842,0.357002454,0.086276286,0.031463268,-0.02465078,0.250024771,"Son","yes","no","yes","no","treatment"
"302",121,"Unweighted Unifrac","Son et al. 2019","Control","control","control","fecal",8,8,0.326358107,0.294745705,0.05268747,0.05098708,-0.576396007,0.26354334,"Son","no","no","no","no","control"
"303",189,"Unweighted Unifrac","Song et al. 2020","Control","control","control","fecal",5,11,0.385997387,0.381299511,0.040702944,0.045094476,-0.105722972,0.291364732,"Song","no","no","no","no","control"
"304",93,"Unweighted Unifrac","Song et al. 2021","Control","control","control","fecal",8,8,0.458313699,0.444714838,0.047780256,0.015776022,-0.361296516,0.255321222,"Song","no","no","no","no","control"
"305",97,"Unweighted Unifrac","Song et al. 2021","Nrf2KO","genotype (CRC-treatment)","genotype","fecal",8,8,0.425439043,0.442646431,0.019917446,0.03280537,0.599387649,0.264645339,"Song","yes","no","no","no","treatment"
"306",101,"Unweighted Unifrac","Song et al. 2021","AOM/DSS-Nrf2KO","colitis and inflammatory intervention, genotype (CRC-treatment)","colitis and inflammatory intervention, genotype","fecal",8,8,0.42771674,0.430205916,0.034922416,0.044373371,0.058930018,0.250141565,"Song","yes","no","yes","no","treatment"
"307",105,"Unweighted Unifrac","Song et al. 2021","AOM/DSS","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",8,8,0.483630561,0.475357895,0.025209884,0.031329363,-0.275017568,0.253083221,"Song","no","no","yes","no","treatment"
"308",257,"Unweighted Unifrac","Song et al. 2022","AOM/DSS","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",10,7,0.432862962,0.451322684,0.014070857,0.034163048,0.627475572,0.257698645,"Song","no","no","yes","no","treatment"
"309",261,"Unweighted Unifrac","Song et al. 2022","AOM/DSS_ steroid-injected","colitis and inflammatory intervention, hormonal intervention (prime male)","colitis and inflammatory intervention, hormonal intervention","fecal",8,4,0.393385889,0.434363818,0.057252215,0.04813588,0.74080525,0.40816724,"Song","no","yes","yes","no","treatment"
"310",265,"Unweighted Unifrac","Song et al. 2022","Control","control","control","fecal",4,4,0.413991907,0.374500561,0.05099295,0.020559741,-0.88233231,0.590639671,"Song","no","no","no","no","control"
"311",377,"Unweighted Unifrac","Strickland et al. 2021","Sigmodon_hispidus_Skin_day28_Control","rats","rats","skin",5,9,0.36176809,0.256992866,0.076049282,0.130216475,-1.00569911,0.360359924,"Strickland","no","no","no","no","treatment"
"312",381,"Unweighted Unifrac","Strickland et al. 2021","Sigmodon_fulviventer_Skin_day7_Control","rats","rats","skin",10,3,0.38384174,0.466156627,0.048719878,0.053203158,1.460407882,0.548363157,"Strickland","no","no","no","no","treatment"
"313",385,"Unweighted Unifrac","Strickland et al. 2021","Sigmodon_hispidus_Ear_day28_Control","rats","rats","ear",5,9,0.391602149,0.401595194,0.104248943,0.050994789,0.103843994,0.311636187,"Strickland","no","no","no","no","treatment"
"314",389,"Unweighted Unifrac","Strickland et al. 2021","Sigmodon_hispidus_Skin_day7_Control","rats","rats","skin",5,8,0.395635549,0.411519581,0.054390426,0.067083629,0.249008888,0.328344197,"Strickland","no","no","no","no","treatment"
"315",393,"Unweighted Unifrac","Strickland et al. 2021","Sigmodon_fulviventer_Nose_day0_Control","rats","rats","nose",5,3,0.457702087,0.426553856,0.316398059,0.055256416,-0.143792339,0.535740607,"Strickland","no","no","no","no","treatment"
"316",397,"Unweighted Unifrac","Strickland et al. 2021","Sigmodon_fulviventer_Fecal_day0_Control","rats","rats","fecal",20,3,0.28015061,0.383150787,0.016581025,0.049030763,2.115839089,0.499553778,"Strickland","no","no","no","no","treatment"
"317",401,"Unweighted Unifrac","Strickland et al. 2021","Sigmodon_hispidus_Ear_day7_Control","rats","rats","ear",5,9,0.372930657,0.330384962,0.104098539,0.134952161,-0.345350251,0.316918477,"Strickland","no","no","no","no","treatment"
"318",405,"Unweighted Unifrac","Strickland et al. 2021","Sigmodon_hispidus_Nose_day28_Control","rats","rats","nose",5,8,0.41241844,0.358614185,0.085362702,0.08044422,-0.598459544,0.344316646,"Strickland","no","no","no","no","treatment"
"319",409,"Unweighted Unifrac","Strickland et al. 2021","Sigmodon_fulviventer_Fecal_day28_Control","rats","rats","fecal",10,3,0.278094927,0.370686284,0.033366038,0.039617026,2.233280962,0.702331207,"Strickland","no","no","no","no","treatment"
"320",413,"Unweighted Unifrac","Strickland et al. 2021","Sigmodon_hispidus_Fecal_day28_Control","rats","rats","fecal",5,9,0.453533876,0.373819578,0.101190625,0.036839722,-0.874493679,0.348347966,"Strickland","no","no","no","no","treatment"
"321",417,"Unweighted Unifrac","Strickland et al. 2021","Sigmodon_hispidus_Fecal_day14_Control","rats","rats","fecal",5,9,0.392119458,0.365519278,0.020435234,0.100043799,-0.414095126,0.3194606,"Strickland","no","no","no","no","treatment"
"322",421,"Unweighted Unifrac","Strickland et al. 2021","Sigmodon_hispidus_Nose_day7_Control","rats","rats","nose",5,9,0.391102784,0.244840574,0.102933165,0.0881907,-1.393098461,0.405609252,"Strickland","no","no","no","no","treatment"
"323",425,"Unweighted Unifrac","Strickland et al. 2021","Sigmodon_fulviventer_Nose_day7_Control","rats","rats","nose",10,3,0.35352262,0.458701657,0.064884918,0.104611023,0.992151311,0.486423971,"Strickland","no","no","no","no","treatment"
"324",429,"Unweighted Unifrac","Strickland et al. 2021","Sigmodon_fulviventer_Skin_day0_Control","rats","rats","skin",5,3,0.338258019,0.424063022,0.083668887,0.063177149,1.054640155,0.662831184,"Strickland","no","no","no","no","treatment"
"325",433,"Unweighted Unifrac","Strickland et al. 2021","Sigmodon_fulviventer_Fecal_day21_Control","rats","rats","fecal",10,3,0.276607649,0.356389947,0.050493876,0.022497642,2.504383643,0.771603608,"Strickland","no","no","no","no","treatment"
"326",437,"Unweighted Unifrac","Strickland et al. 2021","Sigmodon_fulviventer_Ear_day0_Control","rats","rats","ear",4,3,0.237426768,0.379246836,0.181442516,0.163025636,0.698788449,0.657152221,"Strickland","no","no","no","no","treatment"
"327",441,"Unweighted Unifrac","Strickland et al. 2021","Sigmodon_hispidus_Fecal_day7_Control","rats","rats","fecal",5,9,0.429085523,0.370689924,0.067821726,0.038227502,-0.916837484,0.352041358,"Strickland","no","no","no","no","treatment"
"328",445,"Unweighted Unifrac","Strickland et al. 2021","Sigmodon_fulviventer_Skin_day28_Control","rats","rats","skin",10,3,0.397888094,0.420462853,0.148825898,0.077658713,0.221767375,0.435985846,"Strickland","no","no","no","no","treatment"
"329",449,"Unweighted Unifrac","Strickland et al. 2021","Sigmodon_hispidus_Fecal_day0_Control","rats","rats","fecal",15,9,0.395710036,0.43021893,0.041429399,0.0230127,1.074645205,0.206279732,"Strickland","no","no","no","no","treatment"
"330",453,"Unweighted Unifrac","Strickland et al. 2021","Sigmodon_fulviventer_Fecal_day14_Control","rats","rats","fecal",10,3,0.286380505,0.404850845,0.068735983,0.172785728,0.692844456,0.459223426,"Strickland","no","no","no","no","treatment"
"331",457,"Unweighted Unifrac","Strickland et al. 2021","Sigmodon_fulviventer_Nose_day28_Control","rats","rats","nose",10,3,0.337057101,0.445451534,0.079319655,0.132122439,0.811594386,0.468858832,"Strickland","no","no","no","no","treatment"
"332",461,"Unweighted Unifrac","Strickland et al. 2021","Sigmodon_fulviventer_Ear_day28_Control","rats","rats","ear",10,3,0.303040226,0.431591238,0.089134188,0.091340812,1.31452117,0.526529337,"Strickland","no","no","no","no","treatment"
"333",465,"Unweighted Unifrac","Strickland et al. 2021","Sigmodon_fulviventer_Fecal_day7_Control","rats","rats","fecal",10,3,0.290587008,0.357918884,0.033307132,0.031720519,1.955840889,0.639647553,"Strickland","no","no","no","no","treatment"
"334",469,"Unweighted Unifrac","Strickland et al. 2021","Sigmodon_hispidus_Fecal_day21_Control","rats","rats","fecal",5,9,0.418494068,0.387055441,0.062808503,0.061293597,-0.472249181,0.321970417,"Strickland","no","no","no","no","treatment"
"335",473,"Unweighted Unifrac","Strickland et al. 2021","Sigmodon_fulviventer_Ear_day7_Control","rats","rats","ear",10,3,0.205992227,0.425414648,0.177914163,0.087200941,1.864566411,0.620840483,"Strickland","no","no","no","no","treatment"
"336",165,"Unweighted Unifrac","Sun et al. 2020","High fat","dietary intervention","dietary intervention","fecal",8,7,0.24178863,0.247491611,0.052340312,0.054639396,0.100137171,0.268302138,"Sun","no","no","no","yes","treatment"
"337",169,"Unweighted Unifrac","Sun et al. 2020","Pomctm1/tm1, High fat","dietary intervention, genotype (obesity)","dietary intervention, genotype","fecal",8,7,0.23555693,0.259843008,0.046426146,0.061760334,0.413888923,0.275459225,"Sun","yes","no","no","yes","treatment"
"338",173,"Unweighted Unifrac","Sun et al. 2020","Control","control","control","fecal",8,8,0.228976579,0.245395828,0.031442152,0.066444921,0.298602377,0.253634715,"Sun","no","no","no","no","control"
"339",177,"Unweighted Unifrac","Sun et al. 2020","Pomctm1/tm1","genotype (obesity)","genotype","fecal",8,8,0.190415989,0.227592053,0.017037805,0.050164993,0.938070896,0.285871965,"Sun","yes","no","no","no","treatment"
"340",181,"Unweighted Unifrac","Tam et al. 2020","Smoke exposed_cecal","smoke-exposed","smoke-exposed","cecal",10,10,0.364495856,0.366060624,0.054135443,0.074696021,0.022972158,0.200016226,"Tam","no","no","no","no","treatment"
"341",185,"Unweighted Unifrac","Tam et al. 2020","Control_cecal","control","control","cecal",10,10,0.360173452,0.374053506,0.017606643,0.059415367,0.30334412,0.202829279,"Tam","no","no","no","no","control"
"342",241,"Unweighted Unifrac","Tashiro et al. 2020","Cellulose","dietary intervention (dietary fiber)","dietary intervention","fecal",8,8,0.227949364,0.245865222,0.037735316,0.01954945,0.56356177,0.262946933,"Tashiro","no","no","no","yes","treatment"
"343",245,"Unweighted Unifrac","Tashiro et al. 2020","Pectin","dietary intervention (dietary fiber)","dietary intervention","fecal",8,8,0.320797827,0.229171282,0.035629031,0.034614732,-2.465825202,0.497861128,"Tashiro","no","no","no","yes","treatment"
"344",249,"Unweighted Unifrac","Tashiro et al. 2020","Control","control","control","fecal",8,8,0.362951316,0.227038551,0.056108863,0.032331269,-2.805757557,0.570910651,"Tashiro","no","no","no","no","control"
"345",253,"Unweighted Unifrac","Tashiro et al. 2020","Fiberfree","dietary intervention","dietary intervention","fecal",8,8,0.305783352,0.333989249,0.13917337,0.142821659,0.189084589,0.251457458,"Tashiro","no","no","no","yes","treatment"
"346",109,"Unweighted Unifrac","Velasco et al. 2021","C57BL/6J","control","control","fecal",4,4,0.4218149,0.386533568,0.026193566,0.023969493,-1.220668335,0.673479959,"Velasco","no","no","no","no","control"
"347",113,"Unweighted Unifrac","Velasco et al. 2021","MRL/MpJ","genotype (primed tissue regeneration abilities)","genotype","fecal",4,4,0.35381557,0.359306207,0.084067916,0.056724548,0.06650693,0.500514977,"Velasco","yes","no","no","no","treatment"
"348",293,"Unweighted Unifrac","Weng et al. 2019","APOE4_APP transgene +","genotype (prime Alzheimer), AD transgenic ","genotype, AD transgenic ","fecal",19,24,0.417754326,0.455844941,0.032012723,0.038508211,1.067852793,0.108822704,"Weng","yes","no","no","no","treatment"
"349",297,"Unweighted Unifrac","Weng et al. 2019","APOE2_APP transgene +","genotype (neuroprotective against Alzheimer), AD transgenic ","genotype, AD transgenic ","fecal",6,11,0.431829265,0.444949588,0.046728844,0.056897424,0.247308976,0.259881251,"Weng","yes","no","no","no","treatment"
"350",301,"Unweighted Unifrac","Weng et al. 2019","APOE3_APP transgene -","genotype (neutral)","genotype","fecal",20,15,0.4703365,0.447803812,0.091123634,0.041748696,-0.327243239,0.118379746,"Weng","yes","no","no","no","treatment"
"351",305,"Unweighted Unifrac","Weng et al. 2019","APOE2_APP transgene -","genotype (neuroprotective against Alzheimer)","genotype","fecal",16,18,0.438147552,0.440715907,0.033443005,0.044803014,0.064001696,0.118123248,"Weng","yes","no","no","no","treatment"
"352",309,"Unweighted Unifrac","Weng et al. 2019","APOE3_APP transgene +","genotype (neutral), AD transgenic ","genotype, AD transgenic ","fecal",13,21,0.438278437,0.437900851,0.052823255,0.028947887,-0.008126037,0.124543216,"Weng","yes","no","no","no","treatment"
