"","X","Authors","metric","subgroup","group","group_general","tissue","CN","EN","yi","vi","stats","Protocol","genotype_intervention","hormonal_intervention","colitis_intervention","dietary_intervention","control"
"1720",1720,"Zajac et al. 2022","Shannon","APOE2/E3_cecal","genotype (neuroprotective against Alzheimer to neutral)","genotype","cecal",7,10,0.287944578,0.158950617,"lnVR","Zajac","yes","no","no","no","treatment"
"1721",1721,"Zajac et al. 2022","Shannon","APOE2/E3_fecal","genotype (neuroprotective against Alzheimer to neutral)","genotype","fecal",21,36,0.040159342,0.040943878,"lnVR","Zajac","yes","no","no","no","treatment"
"1722",1722,"Zajac et al. 2022","Shannon","APOE2/E3_small bowel","genotype (neuroprotective against Alzheimer to neutral)","genotype","small bowel",1,NA,NA,NA,"lnVR","Zajac","yes","no","no","no","treatment"
"1723",1723,"Zajac et al. 2022","Shannon","APOE2_fecal","genotype (neuroprotective against Alzheimer)","genotype","fecal",8,7,-0.810101224,0.178854875,"lnVR","Zajac","yes","no","no","no","treatment"
"1724",1724,"Zajac et al. 2022","Shannon","APOE3/E3_cecal","genotype (neutral)","genotype","cecal",13,5,-0.659320668,0.201388889,"lnVR","Zajac","yes","no","no","no","treatment"
"1725",1725,"Zajac et al. 2022","Shannon","APOE3/E3_fecal","genotype (neutral)","genotype","fecal",41,15,-0.177845338,0.051077806,"lnVR","Zajac","yes","no","no","no","treatment"
"1726",1726,"Zajac et al. 2022","Shannon","APOE3/E3_small bowel","genotype (neutral)","genotype","small bowel",4,2,0.595892147,1.222222222,"lnVR","Zajac","yes","no","no","no","treatment"
"1727",1727,"Zajac et al. 2022","Shannon","APOE3/E4_cecal","genotype (neutral to prime Alzheimer)","genotype","cecal",10,8,-0.725696617,0.143361048,"lnVR","Zajac","yes","no","no","no","treatment"
"1728",1728,"Zajac et al. 2022","Shannon","APOE3/E4_fecal","genotype (neutral to prime Alzheimer)","genotype","fecal",32,23,0.156144091,0.040409654,"lnVR","Zajac","yes","no","no","no","treatment"
"1729",1729,"Zajac et al. 2022","Shannon","APOE3/E4_small bowel","genotype (neutral to prime Alzheimer)","genotype","small bowel",NA,1,NA,NA,"lnVR","Zajac","yes","no","no","no","treatment"
"1730",1730,"Zajac et al. 2022","Shannon","APOE3_fecal","genotype (neutral)","genotype","fecal",6,7,0.185201542,0.217222222,"lnVR","Zajac","yes","no","no","no","treatment"
"1731",1731,"Zajac et al. 2022","Shannon","APOE4/E4_cecal","genotype (prime Alzheimer)","genotype","cecal",5,4,-0.461405948,0.378472222,"lnVR","Zajac","yes","no","no","no","treatment"
"1732",1732,"Zajac et al. 2022","Shannon","APOE4/E4_fecal","genotype (prime Alzheimer)","genotype","fecal",15,19,0.262312371,0.067586294,"lnVR","Zajac","yes","no","no","no","treatment"
"1733",1733,"Zajac et al. 2022","Shannon","APOE4/E4_small bowel","genotype (prime Alzheimer)","genotype","small bowel",3,3,-0.529559695,0.75,"lnVR","Zajac","yes","no","no","no","treatment"
"1734",1734,"Zajac et al. 2022","Shannon","APOE4_fecal","genotype (prime Alzheimer)","genotype","fecal",7,7,0.422894167,0.194444444,"lnVR","Zajac","yes","no","no","no","treatment"
"1735",1735,"Zou et al. 2021","Shannon","Control","control","control","fecal",4,4,1.384427976,0.444444444,"lnVR","Zou","no","no","no","no","control"
"1736",1736,"Zou et al. 2021","Shannon","Glrx1 KO + High fat chow","genotype (pro-inflammation), dietary intervention","genotype, dietary intervention","fecal",4,4,-0.662956606,0.444444444,"lnVR","Zou","yes","no","no","yes","treatment"
"1737",1737,"Zou et al. 2021","Shannon","Glrx1 KO + Standard chow","genotype (pro-inflammation), dietary intervention","genotype, dietary intervention","fecal",2,3,0.830436392,1.375,"lnVR","Zou","yes","no","no","yes","treatment"
"1738",1738,"Zou et al. 2021","Shannon","High fat chow","dietary intervention","dietary intervention","fecal",5,5,-0.382667365,0.3125,"lnVR","Zou","no","no","no","yes","treatment"
"1739",1739,"Cheema & Pluznick 2019","Simpson","Ang II infusion","increased blood pressure (cardiovascular disease model)","drug treatment","fecal",3,3,0.572398615,0.75,"lnVR","Cheema","no","no","no","no","treatment"
"1740",1740,"Cheema & Pluznick 2019","Simpson","Control","control","control","fecal",3,3,-0.192059063,0.75,"lnVR","Cheema","no","no","no","no","control"
"1741",1741,"Ellis et al. 2021","Simpson","13C11MK4","dietary intervention","dietary intervention","cecal",7,7,-0.978978386,0.194444444,"lnVR","Ellis","no","no","no","yes","treatment"
"1742",1742,"Ellis et al. 2021","Simpson","2H7MK7","dietary intervention","dietary intervention","cecal",7,7,-0.19946478,0.194444444,"lnVR","Ellis","no","no","no","yes","treatment"
"1743",1743,"Ellis et al. 2021","Simpson","2H7MK9","dietary intervention","dietary intervention","cecal",7,7,0.755718476,0.194444444,"lnVR","Ellis","no","no","no","yes","treatment"
"1744",1744,"Ellis et al. 2021","Simpson","2H7PK","dietary intervention","dietary intervention","cecal",7,7,-1.115476967,0.194444444,"lnVR","Ellis","no","no","no","yes","treatment"
"1745",1745,"Ellis et al. 2021","Simpson","Combo","dietary intervention","dietary intervention","cecal",10,9,-0.790743808,0.132040895,"lnVR","Ellis","no","no","no","yes","treatment"
"1746",1746,"Ellis et al. 2021","Simpson","Control (unlabeled PK)","control","control","cecal",7,7,-1.317546231,0.194444444,"lnVR","Ellis","no","no","no","no","control"
"1747",1747,"Ellis et al. 2021","Simpson","MK4","dietary intervention","dietary intervention","cecal",10,10,-0.429853687,0.12345679,"lnVR","Ellis","no","no","no","yes","treatment"
"1748",1748,"Ellis et al. 2021","Simpson","MK9","dietary intervention","dietary intervention","cecal",9,9,-0.453032655,0.140625,"lnVR","Ellis","no","no","no","yes","treatment"
"1749",1749,"Ellis et al. 2021","Simpson","PK","dietary intervention","dietary intervention","cecal",10,9,-0.430076059,0.132040895,"lnVR","Ellis","no","no","no","yes","treatment"
"1750",1750,"Ellis et al. 2021","Simpson","VKdef","dietary intervention","dietary intervention","cecal",8,9,-0.470285079,0.151945153,"lnVR","Ellis","no","no","no","yes","treatment"
"1751",1751,"Gubert et al. 2022","Simpson","R6/1_Enviromental enrichment ","genotype, environmental intervention","genotype, environmental intervention","fecal",8,7,-0.182235547,0.178854875,"lnVR","Gubert","yes","no","no","no","treatment"
"1752",1752,"Gubert et al. 2022","Simpson","R6/1_Exercise","genotype, exercise","genotype, exercise","fecal",8,8,1.018043344,0.163265306,"lnVR","Gubert","yes","no","no","no","treatment"
"1753",1753,"Gubert et al. 2022","Simpson","R6/1_control","genotype","genotype","fecal",8,8,0.414756865,0.163265306,"lnVR","Gubert","yes","no","no","no","treatment"
"1754",1754,"Gubert et al. 2022","Simpson","WT_Enviromental enrichment ","environmental intervention","environmental intervention","fecal",8,8,-0.03969635,0.163265306,"lnVR","Gubert","no","no","no","no","treatment"
"1755",1755,"Gubert et al. 2022","Simpson","WT_Exercise","exercise","exercise","fecal",8,8,-0.120754889,0.163265306,"lnVR","Gubert","no","no","no","no","treatment"
"1756",1756,"Gubert et al. 2022","Simpson","WT_control","control","control","fecal",8,8,-0.456962435,0.163265306,"lnVR","Gubert","no","no","no","no","control"
"1757",1757,"Ibrahim et al. 2019","Simpson","AOM/DSS","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",7,3,0.678547717,0.472222222,"lnVR","Ibrahim","no","no","yes","no","treatment"
"1758",1758,"Ibrahim et al. 2019","Simpson","AOM/DSS-ERbKOVil","colitis and inflammatory intervention, genotype, hormonal intervention","colitis and inflammatory intervention, genotype, hormonal intervention","fecal",7,6,0.799286897,0.217222222,"lnVR","Ibrahim","yes","yes","yes","no","treatment"
"1759",1759,"Ibrahim et al. 2019","Simpson","Control","control","control","fecal",4,4,-1.351072724,0.444444444,"lnVR","Ibrahim","no","no","no","no","control"
"1760",1760,"Ibrahim et al. 2019","Simpson","Control-ERbKOVil","genotype, hormonal intervention","genotype, hormonal intervention","fecal",4,4,0.348575911,0.444444444,"lnVR","Ibrahim","yes","yes","no","no","treatment"
"1761",1761,"Kozik et al. 2019","Simpson","Colitis-cecal","colitis and inflammatory intervention","colitis and inflammatory intervention","cecal",7,7,1.339999319,0.194444444,"lnVR","Kozik","no","no","yes","no","treatment"
"1762",1762,"Kozik et al. 2019","Simpson","Colitis-colonMucus","colitis and inflammatory intervention","colitis and inflammatory intervention","colon mucus",5,4,1.311954089,0.378472222,"lnVR","Kozik","no","no","yes","no","treatment"
"1763",1763,"Kozik et al. 2019","Simpson","Colitis-colonMucus_T0","colitis and inflammatory intervention","colitis and inflammatory intervention","colon mucus",1,NA,NA,NA,"lnVR","Kozik","no","no","yes","no","treatment"
"1764",1764,"Kozik et al. 2019","Simpson","Colitis-fecal","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",5,7,0.241602702,0.253472222,"lnVR","Kozik","no","no","yes","no","treatment"
"1765",1765,"Kozik et al. 2019","Simpson","Colitis-fecal_T0","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",7,7,-0.392665936,0.194444444,"lnVR","Kozik","no","no","yes","no","treatment"
"1766",1766,"Kozik et al. 2019","Simpson","Control-cecal","control","control","cecal",2,3,-0.615296482,1.375,"lnVR","Kozik","no","no","no","no","control"
"1767",1767,"Kozik et al. 2019","Simpson","Control-colonMucus","control","control","colon mucus",NA,3,NA,NA,"lnVR","Kozik","no","no","no","no","control"
"1768",1768,"Kozik et al. 2019","Simpson","Control-fecal","control","control","fecal",2,3,2.083199809,1.375,"lnVR","Kozik","no","no","no","no","control"
"1769",1769,"Kozik et al. 2019","Simpson","Control-fecal_T0","control","control","fecal",2,3,0.398074878,1.375,"lnVR","Kozik","no","no","no","no","control"
"1770",1770,"Li et al. 2020","Simpson","Chow diet + STZ injection+ Distilled water ","dietary intervention, induced type 1 diabetes","dietary intervention, drug treatment","",5,1,NA,NA,"lnVR","Li","no","no","no","yes","treatment"
"1771",1771,"Li et al. 2020","Simpson","HFD+ STZ injection + DNJ","dietary intervention (mixed), induced type 1 diabetes","dietary intervention, drug treatment","",1,9,NA,NA,"lnVR","Li","no","no","no","yes","treatment"
"1772",1772,"Li et al. 2020","Simpson","HFD+ STZ injection+ Distilled water","dietary intervention (High-fat), induced type 1 diabetes","dietary intervention, drug treatment","",NA,3,NA,NA,"lnVR","Li","no","no","no","yes","treatment"
"1773",1773,"Lindheim et al. 2018","Simpson","PRJNA445979","mixed","mixed","fecal",76,93,0.076990457,0.012249412,"lnVR","Lindheim","no","no","no","no","treatment"
"1774",1774,"Lyte et al. 2022","Simpson","beef-chow","dietary intervention","dietary intervention","fecal",18,19,0.405967449,0.060462856,"lnVR","Lyte","no","no","no","yes","treatment"
"1775",1775,"Lyte et al. 2022","Simpson","beef-chow-stress","dietary intervention, enviromental intervention","dietary intervention, enviromental intervention","fecal",18,20,0.417623951,0.0588427,"lnVR","Lyte","no","no","no","yes","treatment"
"1776",1776,"Lyte et al. 2022","Simpson","chow-control","control","control","fecal",20,19,-1.795801052,0.057021819,"lnVR","Lyte","no","no","no","no","control"
"1777",1777,"Lyte et al. 2022","Simpson","chow-stress","enviromental intervention","enviromental intervention","fecal",20,20,-0.57864036,0.055401662,"lnVR","Lyte","no","no","no","no","treatment"
"1778",1778,"Pizarro et al. 2021","Simpson","EtOH-Syn-T1","dietary intervention_mixed","dietary intervention","fecal",10,8,0.184875216,0.143361048,"lnVR","Pizarro","no","no","no","yes","treatment"
"1779",1779,"Pizarro et al. 2021","Simpson","EtOH-T1","dietary intervention_bad","dietary intervention","fecal",10,8,1.003281907,0.143361048,"lnVR","Pizarro","no","no","no","yes","treatment"
"1780",1780,"Pizarro et al. 2021","Simpson","Symbiotic-T0","dietary intervention_good","dietary intervention","fecal",10,8,0.91693584,0.143361048,"lnVR","Pizarro","no","no","no","yes","treatment"
"1781",1781,"Pizarro et al. 2021","Simpson","Water-T0","control","control","fecal",10,8,0.205216721,0.143361048,"lnVR","Pizarro","no","no","no","no","control"
"1782",1782,"Ramakrishna et al. 2020","Simpson","ACV+IVIG-injected","drug treatment (immune-related)","drug treatment","fecal",1,4,NA,NA,"lnVR","Ramakrishna","no","no","no","no","treatment"
"1783",1783,"Ramakrishna et al. 2020","Simpson","ACV-injected","drug treatment (immune-related)","drug treatment","fecal",3,2,0.13444414,1.375,"lnVR","Ramakrishna","no","no","no","no","treatment"
"1784",1784,"Ramakrishna et al. 2020","Simpson","Control","control","control","fecal",2,3,-0.270410997,1.375,"lnVR","Ramakrishna","no","no","no","no","control"
"1785",1785,"Ramakrishna et al. 2020","Simpson","HSV1-infected","infection","infection","fecal",4,5,0.472521538,0.378472222,"lnVR","Ramakrishna","no","no","no","no","treatment"
"1786",1786,"Ramakrishna et al. 2020","Simpson","HSV1-infected; ACV+IVIG-injected","infection, drug treatment (immune-related)","infection, drug treatment ","fecal",2,3,-0.452732554,1.375,"lnVR","Ramakrishna","no","no","no","no","treatment"
"1787",1787,"Ramakrishna et al. 2020","Simpson","HSV1-infected; ACV-injected","infection, drug treatment (immune-related)","infection, drug treatment ","fecal",1,1,NA,NA,"lnVR","Ramakrishna","no","no","no","no","treatment"
"1788",1788,"Ramakrishna et al. 2020","Simpson","HSV1-infected; IVIG-injected","infection, drug treatment (immune-related)","infection, drug treatment","fecal",3,1,NA,NA,"lnVR","Ramakrishna","no","no","no","no","treatment"
"1789",1789,"Ramakrishna et al. 2020","Simpson","IVIG-injected","drug treatment (immune-related)","drug treatment","fecal",5,5,1.476357444,0.3125,"lnVR","Ramakrishna","no","no","no","no","treatment"
"1790",1790,"Son et al. 2019","Simpson","Control","control","control","fecal",8,8,1.795712753,0.163265306,"lnVR","Son","no","no","no","no","control"
"1791",1791,"Son et al. 2019","Simpson","IL-10 Knockout ","colitis and inflammatory intervention, genotype","colitis and inflammatory intervention, genotype","fecal",8,8,-0.869040539,0.163265306,"lnVR","Son","yes","no","yes","no","treatment"
"1792",1792,"Song et al. 2020","Simpson","AOM/DSS","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",12,NA,NA,NA,"lnVR","Song","no","no","yes","no","treatment"
"1793",1793,"Song et al. 2020","Simpson","AOM/DSS E2-supplemented","colitis and inflammatory intervention, dietary intervention","colitis and inflammatory intervention, dietary intervention","fecal",12,NA,NA,NA,"lnVR","Song","no","no","yes","yes","treatment"
"1794",1794,"Song et al. 2020","Simpson","Control","control","control","fecal",5,11,-0.616865132,0.21125,"lnVR","Song","no","no","no","no","control"
"1795",1795,"Song et al. 2020","Simpson","E2-supplemented","dietary intervention","dietary intervention","fecal",12,NA,NA,NA,"lnVR","Song","no","no","no","yes","treatment"
"1796",1796,"Song et al. 2020","Simpson","ovariectomized ","hormonal intervention","hormonal intervention","fecal",NA,7,NA,NA,"lnVR","Song","no","yes","no","no","treatment"
"1797",1797,"Song et al. 2021","Simpson","AOM/DSS","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",8,8,0.189772109,0.163265306,"lnVR","Song","no","no","yes","no","treatment"
"1798",1798,"Song et al. 2021","Simpson","AOM/DSS-Nrf2KO","colitis and inflammatory intervention, genotype (CRC-treatment)","colitis and inflammatory intervention, genotype","fecal",8,8,0.261286854,0.163265306,"lnVR","Song","yes","no","yes","no","treatment"
"1799",1799,"Song et al. 2021","Simpson","Control","control","control","fecal",8,8,2.443666928,0.163265306,"lnVR","Song","no","no","no","no","control"
"1800",1800,"Song et al. 2021","Simpson","Nrf2KO","genotype (CRC-treatment)","genotype","fecal",8,8,-0.188247536,0.163265306,"lnVR","Song","yes","no","no","no","treatment"
"1801",1801,"Song et al. 2022","Simpson","AOM/DSS","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",10,7,0.315631099,0.158950617,"lnVR","Song","no","no","yes","no","treatment"
"1802",1802,"Song et al. 2022","Simpson","AOM/DSS_ steroid-injected","colitis and inflammatory intervention, hormonal intervention (prime male)","colitis and inflammatory intervention, hormonal intervention","fecal",8,4,0.652107277,0.303854875,"lnVR","Song","no","yes","yes","no","treatment"
"1803",1803,"Song et al. 2022","Simpson","Control","control","control","fecal",4,4,-0.377477271,0.444444444,"lnVR","Song","no","no","no","no","control"
"1804",1804,"Song et al. 2022","Simpson","orchiectomized","hormonal intervention (neutered male)","hormonal intervention","fecal",4,NA,NA,NA,"lnVR","Song","no","yes","no","no","treatment"
"1805",1805,"Song et al. 2022","Simpson","orchiectomized_ AOM/DSS","colitis and inflammatory intervention, hormonal intervention (neutered male)","colitis and inflammatory intervention, hormonal intervention ","fecal",10,NA,NA,NA,"lnVR","Song","no","yes","yes","no","treatment"
"1806",1806,"Song et al. 2022","Simpson","orchiectomized_ AOM/DSS_ steroid-injected","colitis and inflammatory intervention, hormonal intervention (mixed)","colitis and inflammatory intervention, hormonal intervention","fecal",6,NA,NA,NA,"lnVR","Song","no","yes","yes","no","treatment"
"1807",1807,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Ear_day0_Control","rats","rats","ear",4,3,-0.579855133,0.597222222,"lnVR","Strickland","no","no","no","no","treatment"
"1808",1808,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Ear_day28_Control","rats","rats","ear",10,3,0.675024784,0.436728395,"lnVR","Strickland","no","no","no","no","treatment"
"1809",1809,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Ear_day7_Control","rats","rats","ear",10,3,0.051629701,0.436728395,"lnVR","Strickland","no","no","no","no","treatment"
"1810",1810,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Ear_day95_Control","rats","rats","ear",10,NA,NA,NA,"lnVR","Strickland","no","no","no","no","treatment"
"1811",1811,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Fecal_day0_Control","rats","rats","fecal",20,3,-1.858181526,0.402700831,"lnVR","Strickland","no","no","no","no","treatment"
"1812",1812,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Fecal_day111_Control","rats","rats","fecal",10,NA,NA,NA,"lnVR","Strickland","no","no","no","no","treatment"
"1813",1813,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Fecal_day14_Control","rats","rats","fecal",10,3,-1.500005482,0.436728395,"lnVR","Strickland","no","no","no","no","treatment"
"1814",1814,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Fecal_day21_Control","rats","rats","fecal",10,3,-0.228238053,0.436728395,"lnVR","Strickland","no","no","no","no","treatment"
"1815",1815,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Fecal_day28_Control","rats","rats","fecal",10,3,-0.484283003,0.436728395,"lnVR","Strickland","no","no","no","no","treatment"
"1816",1816,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Fecal_day34_Control","rats","rats","fecal",10,NA,NA,NA,"lnVR","Strickland","no","no","no","no","treatment"
"1817",1817,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Fecal_day4_Control","rats","rats","fecal",10,NA,NA,NA,"lnVR","Strickland","no","no","no","no","treatment"
"1818",1818,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Fecal_day7_Control","rats","rats","fecal",10,3,-0.913782955,0.436728395,"lnVR","Strickland","no","no","no","no","treatment"
"1819",1819,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Nose_day0_Control","rats","rats","nose",5,3,0.380412812,0.53125,"lnVR","Strickland","no","no","no","no","treatment"
"1820",1820,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Nose_day28_Control","rats","rats","nose",10,3,0.487140109,0.436728395,"lnVR","Strickland","no","no","no","no","treatment"
"1821",1821,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Nose_day7_Control","rats","rats","nose",10,3,1.320276719,0.436728395,"lnVR","Strickland","no","no","no","no","treatment"
"1822",1822,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Nose_day95_Control","rats","rats","nose",10,NA,NA,NA,"lnVR","Strickland","no","no","no","no","treatment"
"1823",1823,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Skin_day0_Control","rats","rats","skin",5,3,-0.421083681,0.53125,"lnVR","Strickland","no","no","no","no","treatment"
"1824",1824,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Skin_day28_Control","rats","rats","skin",10,3,-0.369607085,0.436728395,"lnVR","Strickland","no","no","no","no","treatment"
"1825",1825,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Skin_day7_Control","rats","rats","skin",10,3,0.235150233,0.436728395,"lnVR","Strickland","no","no","no","no","treatment"
"1826",1826,"Strickland et al. 2021","Simpson","Sigmodon_fulviventer_Skin_day95_Control","rats","rats","skin",9,NA,NA,NA,"lnVR","Strickland","no","no","no","no","treatment"
"1827",1827,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Ear_day0_Control","rats","rats","ear",NA,9,NA,NA,"lnVR","Strickland","no","no","no","no","treatment"
"1828",1828,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Ear_day28_Control","rats","rats","ear",5,9,1.591650661,0.2265625,"lnVR","Strickland","no","no","no","no","treatment"
"1829",1829,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Ear_day7_Control","rats","rats","ear",5,9,-1.550828459,0.2265625,"lnVR","Strickland","no","no","no","no","treatment"
"1830",1830,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Ear_day95_Control","rats","rats","ear",10,NA,NA,NA,"lnVR","Strickland","no","no","no","no","treatment"
"1831",1831,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Fecal_day0_Control","rats","rats","fecal",15,9,1.554546759,0.108577806,"lnVR","Strickland","no","no","no","no","treatment"
"1832",1832,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Fecal_day111_Control","rats","rats","fecal",10,NA,NA,NA,"lnVR","Strickland","no","no","no","no","treatment"
"1833",1833,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Fecal_day14_Control","rats","rats","fecal",5,9,0.097561059,0.2265625,"lnVR","Strickland","no","no","no","no","treatment"
"1834",1834,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Fecal_day21_Control","rats","rats","fecal",5,9,-0.187060078,0.2265625,"lnVR","Strickland","no","no","no","no","treatment"
"1835",1835,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Fecal_day28_Control","rats","rats","fecal",5,9,1.039582543,0.2265625,"lnVR","Strickland","no","no","no","no","treatment"
"1836",1836,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Fecal_day34_Control","rats","rats","fecal",9,NA,NA,NA,"lnVR","Strickland","no","no","no","no","treatment"
"1837",1837,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Fecal_day4_Control","rats","rats","fecal",10,NA,NA,NA,"lnVR","Strickland","no","no","no","no","treatment"
"1838",1838,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Fecal_day7_Control","rats","rats","fecal",5,9,0.273087,0.2265625,"lnVR","Strickland","no","no","no","no","treatment"
"1839",1839,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Nose_day0_Control","rats","rats","nose",NA,9,NA,NA,"lnVR","Strickland","no","no","no","no","treatment"
"1840",1840,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Nose_day28_Control","rats","rats","nose",5,8,-0.75869132,0.237882653,"lnVR","Strickland","no","no","no","no","treatment"
"1841",1841,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Nose_day7_Control","rats","rats","nose",5,9,0.246153785,0.2265625,"lnVR","Strickland","no","no","no","no","treatment"
"1842",1842,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Nose_day95_Control","rats","rats","nose",10,NA,NA,NA,"lnVR","Strickland","no","no","no","no","treatment"
"1843",1843,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Skin_day0_Control","rats","rats","skin",NA,9,NA,NA,"lnVR","Strickland","no","no","no","no","treatment"
"1844",1844,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Skin_day28_Control","rats","rats","skin",5,9,-0.431069108,0.2265625,"lnVR","Strickland","no","no","no","no","treatment"
"1845",1845,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Skin_day7_Control","rats","rats","skin",5,8,0.397321873,0.237882653,"lnVR","Strickland","no","no","no","no","treatment"
"1846",1846,"Strickland et al. 2021","Simpson","Sigmodon_hispidus_Skin_day95_Control","rats","rats","skin",10,NA,NA,NA,"lnVR","Strickland","no","no","no","no","treatment"
"1847",1847,"Sun et al. 2020","Simpson","Control","control","control","fecal",8,8,-0.047705211,0.163265306,"lnVR","Sun","no","no","no","no","control"
"1848",1848,"Sun et al. 2020","Simpson","High fat","dietary intervention","dietary intervention","fecal",8,7,-0.161429015,0.178854875,"lnVR","Sun","no","no","no","yes","treatment"
"1849",1849,"Sun et al. 2020","Simpson","Pomctm1/tm1","genotype (obesity)","genotype","fecal",8,8,-1.238463083,0.163265306,"lnVR","Sun","yes","no","no","no","treatment"
"1850",1850,"Sun et al. 2020","Simpson","Pomctm1/tm1, High fat","dietary intervention, genotype (obesity)","dietary intervention, genotype","fecal",8,7,-1.068018236,0.178854875,"lnVR","Sun","yes","no","no","yes","treatment"
"1851",1851,"Tam et al. 2020","Simpson","""Smoke exposed, ovariectomy""","smoke-exposed, hormonal intervention (neutered female)","smoke-exposed, hormonal intervention","cecal",NA,8,NA,NA,"lnVR","Tam","no","yes","no","no","treatment"
"1852",1852,"Tam et al. 2020","Simpson","Control","control","control","cecal",10,10,-0.390284792,0.12345679,"lnVR","Tam","no","no","no","no","control"
"1853",1853,"Tam et al. 2020","Simpson","Smoke exposed","smoke-exposed","smoke-exposed","cecal",10,10,-0.360090792,0.12345679,"lnVR","Tam","no","no","no","no","treatment"
"1854",1854,"Tam et al. 2020","Simpson","ovariectomy","hormonal intervention (neutered female)","hormonal intervention","cecal",NA,10,NA,NA,"lnVR","Tam","no","yes","no","no","treatment"
"1855",1855,"Tashiro et al. 2020","Simpson","Cellulose","dietary intervention (dietary fiber)","dietary intervention","fecal",8,8,-0.347276423,0.163265306,"lnVR","Tashiro","no","no","no","yes","treatment"
"1856",1856,"Tashiro et al. 2020","Simpson","Control","control","control","fecal",8,8,0.28406494,0.163265306,"lnVR","Tashiro","no","no","no","no","control"
"1857",1857,"Tashiro et al. 2020","Simpson","Fiberfree","dietary intervention (dietary fiber)","dietary intervention","fecal",8,8,0.954476105,0.163265306,"lnVR","Tashiro","no","no","no","yes","treatment"
"1858",1858,"Tashiro et al. 2020","Simpson","Pectin","dietary intervention (dietary fiber)","dietary intervention","fecal",8,8,-0.447652841,0.163265306,"lnVR","Tashiro","no","no","no","yes","treatment"
"1859",1859,"Velasco et al. 2021","Simpson","C57BL/6J","control","control","fecal",4,4,0.1561498,0.444444444,"lnVR","Velasco","no","no","no","no","control"
"1860",1860,"Velasco et al. 2021","Simpson","MRL/MpJ","genotype (primed tissue regeneration abilities)","genotype","fecal",4,4,0.376203965,0.444444444,"lnVR","Velasco","yes","no","no","no","treatment"
"1861",1861,"Weng et al. 2019","Simpson","APOE2_APP transgene +","genotype (neuroprotective against Alzheimer), AD transgenic ","genotype, AD transgenic ","fecal",6,11,-0.538172185,0.175,"lnVR","Weng","yes","no","no","no","treatment"
"1862",1862,"Weng et al. 2019","Simpson","APOE2_APP transgene -","genotype (neuroprotective against Alzheimer)","genotype","fecal",16,18,0.031506065,0.066697424,"lnVR","Weng","yes","no","no","no","treatment"
"1863",1863,"Weng et al. 2019","Simpson","APOE3_APP transgene +","genotype (neutral), AD transgenic ","genotype, AD transgenic ","fecal",13,21,-0.504220461,0.071388889,"lnVR","Weng","yes","no","no","no","treatment"
"1864",1864,"Weng et al. 2019","Simpson","APOE3_APP transgene -","genotype (neutral)","genotype","fecal",20,15,0.551290646,0.065966137,"lnVR","Weng","yes","no","no","no","treatment"
